"log_id","shipment_id","container_id","sensor_id","timestamp","temperature_celsius","humidity_percent","location_latitude","location_longitude","location_description","alarm_triggered","alarm_type","operator_id","remarks"
"LOG0002012","SHIP0124","CONT0118","SENS0120","2024-06-05T09:20:12Z","43.8","14.3","25.276987","55.296249","Dubai Cargo Transfer Point","false","none","OPR033","Desert conditions"
"LOG0002013","SHIP0124","CONT0118","SENS0121","2024-06-05T13:50:45Z","46.2","13","25.276987","55.296249","Dubai Cargo Transfer Point","false","none","OPR033",""
"LOG0002014","SHIP0125","CONT0119","SENS0122","2024-06-06T10:07:11Z","98.3","7.2","24.7136","46.6753","Riyadh Outbound Terminal","true","temperature_high","OPR034","Extreme high temperature detected"
"LOG0002015","SHIP0125","CONT0119","SENS0123","2024-06-06T11:49:23Z","99.7","6.8","24.7136","46.6753","Riyadh Outbound Terminal","true","temperature_high","OPR034","Exceeded safe temperature"
"LOG0002016","SHIP0125","CONT0120","SENS0124","2024-06-06T15:15:56Z","42.5","12.9","24.7136","46.6753","Riyadh Outbound Terminal","false","none","OPR034",""
"LOG0002017","SHIP0126","CONT0121","SENS0125","2024-06-07T08:25:09Z","18.7","85.6","60.1695","24.9354","Helsinki Cold Terminal","true","humidity_high","OPR035","Humidity exceeding threshold"
"LOG0002018","SHIP0126","CONT0121","SENS0126","2024-06-07T10:48:18Z","20.2","84.9","60.1695","24.9354","Helsinki Cold Terminal","true","humidity_high","OPR035",""
"LOG0002019","SHIP0127","CONT0122","SENS0127","2024-06-08T09:13:45Z","-1.8","92.7","52.52","13.405","Berlin Logistics Hub","true","humidity_high","OPR036","High humidity, possible condensation risk"
"LOG0002020","SHIP0127","CONT0122","SENS0128","2024-06-08T11:51:58Z","0.5","88.1","52.52","13.405","Berlin Logistics Hub","true","humidity_high","OPR036",""
"LOG0002021","SHIP0128","CONT0123","SENS0129","2024-06-09T11:15:33Z","4.8","65.7","40.4168","-3.7038","Madrid Central Facility","false","none","OPR037",""
"LOG0002022","SHIP0128","CONT0123","SENS0130","2024-06-09T13:47:52Z","7","64.2","40.4168","-3.7038","Madrid Central Facility","false","none","OPR037",""
"LOG0002023","SHIP0128","CONT0124","SENS0131","2024-06-09T17:20:46Z","5.6","68.1","40.4168","-3.7038","Madrid Central Facility","false","none","OPR037",""
"LOG0002024","SHIP0129","CONT0125","SENS0132","2024-06-10T08:05:37Z","-100","0","-90","0","Antarctic Field Test","true","temperature_low","","System edge case: minimum temp boundary"
"LOG0002025","SHIP0129","CONT0125","SENS0133","2024-06-10T09:52:11Z","-99.8","0","-90","0","Antarctic Field Test","true","temperature_low","","Edge: minimum temp boundary"
"LOG0002026","SHIP0130","CONT0126","SENS0134","2024-06-11T07:37:56Z","100","100","0","180","Synthetic Max Boundary Test","true","temperature_high","","System edge: maximum values test"
"LOG0002027","SHIP0130","CONT0126","SENS0135","2024-06-11T11:19:29Z","99.9","100","0","180","Synthetic Max Boundary Test","true","temperature_high","","Edge test: max temp boundary"
"LOG0002028","SHIP0131","CONT0127","SENS0136","2024-06-12T09:24:05Z","3.8","67.2","37.5665","126.978","Seoul Cargo Hub","false","none","OPR038",""
"LOG0002029","SHIP0131","CONT0127","SENS0136","2024-06-12T11:56:11Z","4.2","65.8","37.5665","126.978","Seoul Cargo Hub","false","none","OPR038",""
"LOG0002030","SHIP0131","CONT0128","SENS0137","2024-06-12T15:40:40Z","5.1","68.9","37.5665","126.978","Seoul Cargo Hub","false","none","OPR038",""
"LOG0002031","SHIP0132","CONT0129","SENS0138","2024-06-13T08:09:29Z","-17.6","91.3","55.7558","37.6173","Moscow Frozen Depot","false","none","OPR039",""
"LOG0002032","SHIP0132","CONT0129","SENS0138","2024-06-13T10:51:54Z","-19.2","92.5","55.7558","37.6173","Moscow Frozen Depot","true","temperature_low","OPR039","Temperature dropped below threshold"
"LOG0002033","SHIP0132","CONT0130","SENS0139","2024-06-13T14:15:17Z","-21.7","93.8","55.7558","37.6173","Moscow Frozen Depot","true","temperature_low","OPR039","Extreme cold detected"
"LOG0002034","SHIP0133","CONT0131","SENS0140","2024-06-14T09:37:51Z","10.2","87.9","28.6139","77.209","New Delhi Central Terminal","true","humidity_high","OPR040",""
"LOG0002035","SHIP0133","CONT0131","SENS0140","2024-06-14T12:23:30Z","8.7","89.2","28.6139","77.209","New Delhi Central Terminal","true","humidity_high","OPR040",""
"LOG0002036","SHIP0134","CONT0132","SENS0141","2024-06-15T08:41:10Z","7.4","75.2","1.3521","103.8198","Singapore Main Cargo","false","none","OPR041",""
"LOG0002037","SHIP0134","CONT0132","SENS0142","2024-06-15T11:17:02Z","6.9","67.7","1.3521","103.8198","Singapore Main Cargo","false","none","OPR041",""
"LOG0002038","SHIP0134","CONT0133","SENS0143","2024-06-15T15:29:45Z","5.2","63.1","1.3521","103.8198","Singapore Main Cargo","false","none","OPR041",""
"LOG0002039","SHIP0135","CONT0134","SENS0144","2024-06-16T10:18:19Z","0","0","90","135","North Pole Station - Edge Test","true","temperature_low","","System edge case: zero temp/humidity"
"LOG0002040","SHIP0135","CONT0134","SENS0145","2024-06-16T14:37:24Z","0","100","90","135","North Pole Station - Edge Test","true","humidity_high","","Edge: max humidity at pole"
"LOG0002041","SHIP0136","CONT0135","SENS0146","2024-06-17T08:19:30Z","16.8","58.2","51.5074","-0.1278","London Heathrow Warehouse","false","none","OPR042",""
"LOG0002042","SHIP0136","CONT0135","SENS0147","2024-06-17T11:42:57Z","14.2","62.9","51.5074","-0.1278","London Heathrow Warehouse","false","none","OPR042",""
"LOG0002043","SHIP0136","CONT0136","SENS0148","2024-06-17T15:05:12Z","17.1","65.5","51.5074","-0.1278","London Heathrow Warehouse","false","none","OPR042","Routine check"
"LOG0002044","SHIP0137","CONT0137","SENS0149","2024-06-18T09:44:28Z","8.8","78.8","-33.8688","151.2093","Sydney Port Warehouse","false","none","OPR043",""
"LOG0002045","SHIP0137","CONT0137","SENS0150","2024-06-18T13:28:39Z","7.9","74.1","-33.8688","151.2093","Sydney Port Warehouse","false","none","OPR043",""
"LOG0002046","SHIP0137","CONT0138","SENS0151","2024-06-18T17:13:32Z","8.3","77.5","-33.8688","151.2093","Sydney Port Warehouse","false","none","OPR043",""
"LOG0002047","SHIP0138","CONT0139","SENS0152","2024-06-19T09:10:15Z","14.5","81.2","34.0522","-118.2437","Los Angeles Transfer Facility","true","humidity_high","OPR044",""
"LOG0002048","SHIP0138","CONT0139","SENS0152","2024-06-19T13:26:41Z","15.1","83.8","34.0522","-118.2437","Los Angeles Transfer Facility","true","humidity_high","OPR044",""
"LOG0002049","SHIP0138","CONT0140","SENS0153","2024-06-19T17:40:57Z","13.6","79.3","34.0522","-118.2437","Los Angeles Transfer Facility","false","none","OPR044",""
